research_question,condition,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd,fake_repost_share_during_mean,fake_repost_share_during_sd,fake_repost_share_post100_mean,fake_repost_share_post100_sd
RQ1,control,NONE,,,,1.0,5.0,-1.0,0.33,30,0.11464199999999998,0.019134167111073394,0.10054000000000002,0.035459177888830476,0.01328216666666667,0.004805115213253859,0.008755333333333334,0.004700977692392064,22928.4,3826.8334222146786,459.46666666666664,23.488417297179407,0.11464199999999998,0.019134167111073394,,
RQ1,engagement,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11443283333333333,0.018204508852409925,0.10068266666666666,0.03527511371797534,0.013115,0.004526392336751963,0.008636000000000001,0.004313495742114669,22886.566666666666,3640.901770481985,458.4,22.69376338450113,0.11443283333333333,0.018204508852409925,,
RQ1,proximity,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11430950000000001,0.01897473430598591,0.10039066666666667,0.03548643246644275,0.013676833333333334,0.005151732464429561,0.009060666666666665,0.005062428157571691,22861.9,3794.9468611971824,463.1,21.730877443922015,0.11430950000000001,0.01897473430598591,,
RQ1,informational,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.114568,0.019107970470911905,0.10059866666666667,0.035716241039938514,0.014151166666666666,0.005260452105149777,0.009443333333333335,0.005289954261801705,22913.6,3821.5940941823815,465.3666666666667,20.82850058889524,0.114568,0.019107970470911905,,
RQ1,credibility,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11455850000000002,0.01938135787341128,0.10033933333333331,0.035378516560520004,0.013761500000000003,0.005291288570979598,0.008931333333333335,0.004822675415256509,22911.7,3876.271574682256,463.4,22.19133101942723,0.11455850000000002,0.01938135787341128,,
RQ1,all,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11621050000000001,0.018215737244538555,0.102532,0.037106015721963745,0.017991333333333335,0.006172626296990516,0.012453333333333332,0.007988889411112692,23242.1,3643.14744890771,476.6333333333333,17.66056064508855,0.11621050000000001,0.018215737244538555,,
RQ2,control,NONE,,,,1.0,5.0,-1.0,0.33,30,0.11464199999999998,0.019134167111073394,0.10054000000000002,0.035459177888830476,0.01328216666666667,0.004805115213253859,0.008755333333333334,0.004700977692392064,22928.4,3826.8334222146786,459.46666666666664,23.488417297179407,0.11464199999999998,0.019134167111073394,,
RQ2,credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1.0,25.0,,1.0,5.0,-1.0,0.33,30,0.11455983333333332,0.019064769931931288,0.10055133333333334,0.03545783574052848,0.013328333333333334,0.004775662859449611,0.008759333333333334,0.00469355973526552,22911.966666666667,3812.9539863862574,461.26666666666665,23.362116893533564,0.1787466666666666,0.04986616165458215,0.11405266666666665,0.04125496684273788
RQ2,credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1.0,100.0,,1.0,5.0,-1.0,0.33,30,0.11459116666666666,0.019111166111561013,0.10055799999999998,0.03544961352836368,0.013488500000000004,0.004974676587997697,0.008768000000000001,0.004688190887016381,22918.233333333334,3822.233222312203,461.8,23.591933162520352,0.13640066666666667,0.03670059681308714,0.11392466666666666,0.04012852341246021
RQ2,credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11455850000000002,0.01938135787341128,0.10033933333333331,0.035378516560520004,0.013761500000000003,0.005291288570979598,0.008931333333333335,0.004822675415256509,22911.7,3876.271574682256,463.4,22.19133101942723,0.11455850000000002,0.01938135787341128,,
RQ2,credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101.0,125.0,,1.0,5.0,-1.0,0.33,30,0.11467033333333335,0.01921202496701827,0.10054000000000002,0.035459177888830476,0.013315999999999998,0.004875331005561889,0.008755333333333334,0.004700977692392064,22934.066666666666,3842.404993403654,459.73333333333335,23.610245194849618,0.08986933333333333,0.07889857089450608,0.11849866666666667,0.029997820579839296
RQ2,credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101.0,200.0,,1.0,5.0,-1.0,0.33,30,0.1146065,0.019142091197960436,0.100554,0.03545026361460275,0.013369333333333332,0.004848987760228992,0.008756666666666666,0.004699878452818154,22921.3,3828.418239592088,460.5,23.21080307336101,0.11379933333333334,0.040553399953839775,0.10739533333333333,0.038843623781848
RQ2,credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,101.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11454383333333333,0.01920561626206634,0.10033466666666668,0.035386903064633206,0.013499666666666668,0.0049410450055758885,0.008923333333333333,0.004829647187323624,22908.766666666666,3841.1232524132683,461.56666666666666,22.387932915521368,0.107166,0.018862993781638436,,
RQ2,credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201.0,225.0,,1.0,5.0,-1.0,0.33,30,0.1146455,0.01914601976958243,0.10053733333333333,0.03545457267656967,0.013303,0.00483168004621224,0.008755333333333334,0.004699052533505417,22929.1,3829.2039539164866,459.8,23.088136974765142,0.10816533333333335,0.06422167448784707,0.10606866666666666,0.02945042950724012
RQ2,credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201.0,300.0,,1.0,5.0,-1.0,0.33,30,0.1145975,0.019205024115920902,0.10041400000000003,0.03536148192791036,0.013340499999999998,0.004905834202675213,0.008636,0.004563233578248562,22919.5,3841.0048231841806,459.8666666666667,22.91172464998612,0.10742933333333334,0.03908403703898009,0.10041400000000003,0.03536148192791036
RQ2,credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,201.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11457433333333332,0.01918862453666743,0.10032133333333335,0.035395283119738385,0.013412166666666666,0.00489467192436086,0.008922666666666667,0.004830614249035883,22914.866666666665,3837.7249073334865,460.5,22.639224429264814,0.10387533333333335,0.023653470071784005,,
