research_question,condition,metric,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,p_holm
RQ1,engagement,fake_repost_share_all,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00020916666666666677,0.0003098248562831604,-0.000842829646606491,0.00042449631327315753,-0.12325813470432881,0.5049518018980891,1.0
RQ1,engagement,fake_repost_share_final100,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0001426666666666671,0.00012544626851176084,-0.0001138997601885245,0.0003992330935218587,0.20763671029422445,0.2647339508482773,0.7942018525448318
RQ1,engagement,target_share_all,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00016716666666666646,8.944004713019414e-05,-0.0003500921022510855,1.5758768917752597e-05,-0.341237723421585,0.07174807465549758,0.07174807465549758
RQ1,engagement,target_share_final100,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.0001193333333333333,0.00013271517625223887,-0.00039076634576527835,0.00015209967909861178,-0.16416499447589786,0.3759686053995041,0.5006768905934145
RQ1,engagement,cumulative_fake_reposts,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-41.833333333333336,61.96497125663216,-168.56592932129837,84.89926265463168,-0.1232581347043286,0.50495180189809,1.0
RQ1,engagement,target_unique_reposters_p400,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-1.0666666666666667,0.6449330952261697,-2.385702950215622,0.25236961688228887,-0.30196279221143746,0.10892993718138229,0.10892993718138229
RQ1,proximity,fake_repost_share_all,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00033249999999999995,0.00010396057774049622,-0.0005451232552081041,-0.00011987674479189582,-0.5839320837720667,0.0033326468806815623,0.016663234403407813
RQ1,proximity,fake_repost_share_final100,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00014933333333333256,0.0001385897222419863,-0.00043278114135758094,0.0001341144746909158,-0.19672751565056726,0.29012954524982304,0.7942018525448318
RQ1,proximity,target_share_all,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0003946666666666664,0.00011242799313270142,0.00016472560250617349,0.0006246077308271593,0.6409075118671954,0.001483341059825379,0.004450023179476137
RQ1,proximity,target_share_final100,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0003053333333333334,0.0001618227591038562,-2.5631370357572978e-05,0.0006362980370242398,0.34448791412498236,0.06923005066419616,0.20769015199258847
