research_question,condition,metric,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,p_holm
RQ1,engagement,fake_repost_share_all,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00020916666666666306,0.0003098248562831602,-0.0008428296466064869,0.0004244963132731608,-0.12325813470432671,0.5049518018980963,1.0
RQ1,engagement,fake_repost_share_final100,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0001426666666666768,0.00012544626851175992,-0.0001138997601885129,0.0003992330935218665,0.2076367102942401,0.26473395084824203,0.7942018525447261
RQ1,engagement,target_share_all,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.0001671666666666534,8.944004713019426e-05,-0.0003500921022510727,1.5758768917765905e-05,-0.3412377234215579,0.07174807465551897,0.07174807465551897
RQ1,engagement,target_share_final100,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00011933333333332332,0.00013271517625224033,-0.0003907663457652714,0.0001520996790986248,-0.16416499447588231,0.37596860539954874,0.5006768905933768
RQ1,engagement,fake_repost_share_decisions,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00020916666666666582,0.0003098248562831608,-0.0008428296466064908,0.0004244963132731592,-0.1232581347043281,0.5049518018980915,1.0
RQ1,engagement,target_share_decisions,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00016716666666666678,8.944004713019409e-05,-0.0003500921022510857,1.5758768917752163e-05,-0.3412377234215859,0.07174807465549687,0.07174807465549687
RQ1,engagement,participation_rate,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0,0.0,0.0,0.0,,,
RQ1,engagement,cumulative_fake_reposts,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-41.833333333333336,61.96497125663216,-168.56592932129837,84.89926265463168,-0.1232581347043286,0.50495180189809,1.0
RQ1,engagement,target_unique_reposters_p400,ENGAGEMENT,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-1.0666666666666667,0.6449330952261697,-2.385702950215622,0.25236961688228887,-0.30196279221143746,0.10892993718138229,0.10892993718138229
RQ1,proximity,fake_repost_share_all,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00033249999999999345,0.00010396057774049599,-0.0005451232552080971,-0.0001198767447918898,-0.5839320837720567,0.003332646880682036,0.01666323440341018
RQ1,proximity,fake_repost_share_final100,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.00014933333333332077,0.00013858972224198437,-0.00043278114135756517,0.00013411447469092362,-0.19672751565055444,0.2901295452498539,0.7942018525447261
RQ1,proximity,target_share_all,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0003946666666666731,0.00011242799313270536,0.00016472560250617213,0.0006246077308271741,0.6409075118671839,0.0014833410598256269,0.00445002317947688
RQ1,proximity,target_share_final100,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0003053333333333433,0.00016182275910385686,-2.5631370357564467e-05,0.0006362980370242511,0.34448791412499213,0.06923005066418861,0.20769015199256582
RQ1,proximity,fake_repost_share_decisions,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-0.0003325000000000004,0.00010396057774049745,-0.000545123255208107,-0.00011987674479189373,-0.5839320837720606,0.0033326468806818463,0.016663234403409232
RQ1,proximity,target_share_decisions,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0003946666666666664,0.00011242799313270131,0.0001647256025061737,0.0006246077308271591,0.6409075118671961,0.001483341059825365,0.004450023179476095
RQ1,proximity,participation_rate,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0,0.0,0.0,0.0,,,
RQ1,proximity,cumulative_fake_reposts,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-66.5,20.79211554809941,-109.02465104162117,-23.97534895837883,-0.5839320837720622,0.0033326468806817696,0.016663234403408847
RQ1,proximity,target_unique_reposters_p400,PROXIMITY,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,3.6333333333333333,0.7943526726727717,2.0086997008756446,5.257966965791022,0.835086099690087,8.27536436808344e-05,0.0001655072873616688
RQ1,informational,fake_repost_share_all,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-7.39999999999963e-05,8.665010893998233e-05,-0.00025121937129807606,0.0001032193712980835,-0.15592005500133163,0.4000995473493726,1.0
RQ1,informational,fake_repost_share_final100,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,5.866666666667353e-05,0.00011306364125208226,-0.000172574443869543,0.00028990777720289005,0.09473442376089439,0.6077804937501147,0.7942018525447261
RQ1,informational,target_share_all,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0008690000000000066,0.00010759849804532286,0.0006489363623487546,0.0010890636376512585,1.474527715283112,6.607990735755229e-09,2.6431962943020917e-08
RQ1,informational,target_share_final100,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0006880000000000134,0.000152287085210267,0.0003765379392139865,0.0009994620607860403,0.8248305473907119,9.666483955175048e-05,0.0003866593582070019
RQ1,informational,fake_repost_share_decisions,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-7.399999999999906e-05,8.665010893997975e-05,-0.00025121937129807357,0.00010321937129807544,-0.15592005500134207,0.40009954734934133,1.0
RQ1,informational,target_share_decisions,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0008689999999999999,0.00010759849804532213,0.0006489363623487493,0.0010890636376512503,1.4745277152831107,6.6079907357553666e-09,2.6431962943021466e-08
RQ1,informational,participation_rate,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.0,0.0,0.0,0.0,,,
RQ1,informational,cumulative_fake_reposts,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,-14.8,17.330021787995932,-50.24387425961487,20.643874259614865,-0.1559200550013442,0.40009954734933495,1.0
