condition,strategy,start_period,end_period,window,window_start,window_end,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,during,1,25,false_rate_agent_period,30,0.0012133333333333343,0.0005569451433671957,7.425261707689774e-05,0.002352414049589771,0.39774715358962437,0.037637622405451626
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,during,1,25,false_share_decisions,30,0.0012133333333333343,0.0005569451433671957,7.425261707689774e-05,0.002352414049589771,0.39774715358962437,0.037637622405451626
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,during,1,25,target_share_decisions,30,0.002709333333333333,0.0005094380346137409,0.0016674155641114843,0.003751251102555182,0.9709803624383091,1.0474350570894868e-05
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,during,1,25,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_1_25,26,50,false_rate_agent_period,30,-0.0014,0.0004348370020948138,-0.0022893415261804333,-0.0005106584738195666,-0.5878153398577256,0.0031562439726372355
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_1_25,26,50,false_share_decisions,30,-0.0014,0.0004348370020948138,-0.0022893415261804333,-0.0005106584738195666,-0.5878153398577256,0.0031562439726372355
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_1_25,26,50,target_share_decisions,30,-0.0011173333333333335,0.0003667962989238231,-0.001867515996516904,-0.00036715067014976284,-0.5561567121539255,0.0048988326234565205
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_1_25,26,50,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_26_50,51,75,false_rate_agent_period,30,-0.000989333333333335,0.0007540113315611414,-0.0025314596591461307,0.0005527929924794611,-0.23955439433361936,0.19978015692400292
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_26_50,51,75,false_share_decisions,30,-0.000989333333333335,0.0007540113315611414,-0.0025314596591461307,0.0005527929924794611,-0.23955439433361936,0.19978015692400292
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_26_50,51,75,target_share_decisions,30,-0.0005973333333333331,0.00032501208937137685,-0.0012620576925671562,6.739102590049006e-05,-0.3355495089933646,0.07634504838792273
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_26_50,51,75,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_51_100,76,125,false_rate_agent_period,30,-9.066666666666667e-05,8.817815473902871e-05,-0.0002710112425274925,8.967790919415913e-05,-0.18772668693324662,0.31234590090107256
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_51_100,76,125,false_share_decisions,30,-9.066666666666667e-05,8.817815473902871e-05,-0.0002710112425274925,8.967790919415913e-05,-0.18772668693324662,0.31234590090107256
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_51_100,76,125,target_share_decisions,30,-0.00012933333333333324,9.163010765219307e-05,-0.0003167379456154091,5.807127894874264e-05,-0.25769835526436813,0.1687451194725418
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,1,25,post_51_100,76,125,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,during,1,100,false_rate_agent_period,30,-0.0002766666666666686,0.00039372676602375566,-0.001081928319439501,0.0005285949861061636,-0.12829250072198037,0.4878535994575786
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,during,1,100,false_share_decisions,30,-0.0002766666666666686,0.00039372676602375566,-0.001081928319439501,0.0005285949861061636,-0.12829250072198037,0.4878535994575786
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,during,1,100,target_share_decisions,30,0.0008340000000000008,0.0002907811911892262,0.00023928568840513866,0.001428714311594863,0.5236475934488778,0.00762020995158622
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,during,1,100,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_1_25,101,125,false_rate_agent_period,30,-0.00010400000000000184,0.0002941301611942194,-0.0007055637243196895,0.0004975637243196857,-0.06455548540058824,0.7262076131931402
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_1_25,101,125,false_share_decisions,30,-0.00010400000000000184,0.0002941301611942194,-0.0007055637243196895,0.0004975637243196857,-0.06455548540058824,0.7262076131931402
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_1_25,101,125,target_share_decisions,30,-0.0001573333333333332,0.00022288336898158726,-0.0006131810063128761,0.00029851433964620975,-0.1288790876111609,0.48588296338769466
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_1_25,101,125,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_26_50,126,150,false_rate_agent_period,30,0.00020266666666666558,0.0002926403517612139,-0.00039585005523951023,0.0008011833885728413,0.1264408733788133,0.4941038097705572
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_26_50,126,150,false_share_decisions,30,0.00020266666666666558,0.0002926403517612139,-0.00039585005523951023,0.0008011833885728413,0.1264408733788133,0.4941038097705572
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_26_50,126,150,target_share_decisions,30,6.133333333333343e-05,0.00018922451138478946,-0.0003256742463689151,0.00044834091303558196,0.05917776357795653,0.7481659305356878
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_26_50,126,150,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_51_100,151,200,false_rate_agent_period,30,6.133333333333292e-05,5.9968829706760835e-05,-6.131669478694256e-05,0.0001839833614536084,0.18672839627919036,0.3148808265796147
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_51_100,151,200,false_share_decisions,30,6.133333333333292e-05,5.9968829706760835e-05,-6.131669478694256e-05,0.0001839833614536084,0.18672839627919036,0.3148808265796147
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_51_100,151,200,target_share_decisions,30,5.333333333333521e-06,2.0721099987074152e-05,-3.70460745778261e-05,4.771274124449315e-05,0.04699214770102663,0.7986979298278083
credibility_p1_d100,CREDIBILITY_CAMOUFLAGE,1,100,post_51_100,151,200,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p1_permanent,CREDIBILITY_CAMOUFLAGE,1,-1,during,1,400,false_rate_agent_period,30,-8.349999999999932e-05,0.00016925464560085612,-0.00042966461825153575,0.0002626646182515371,-0.09007105514361072,0.6254881608877856
