study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,target_share_decisions_final100,total_decisions,target_unique_reposters_p25,target_unique_reposters_p50,target_unique_reposters_p100,target_unique_reposters_p200,target_first_repost_period,selections_traditional_media_all,selections_unknown_media_all,selections_fake_news_source_all,selections_mixed_source_all,target_time_to_25pct_final,target_time_to_50pct_final,target_time_to_75pct_final
news-source-strategies,RQ1,E1-strategy-comparison,control,1001,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01126,200000,252,252,329,389,1.0,191104,3564,2232,3100,3,11,127
news-source-strategies,RQ1,E1-strategy-comparison,control,1002,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00262,200000,264,275,311,341,1.0,192626,3137,1699,2538,3,8,152
news-source-strategies,RQ1,E1-strategy-comparison,control,1003,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00964,200000,202,252,334,384,1.0,190277,4532,2246,2945,7,38,131
news-source-strategies,RQ1,E1-strategy-comparison,control,1004,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00538,200000,267,278,396,467,1.0,186843,5540,3143,4474,3,13,89
news-source-strategies,RQ1,E1-strategy-comparison,control,1005,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01264,200000,344,371,409,421,1.0,186839,5615,3067,4479,3,9,35
news-source-strategies,RQ1,E1-strategy-comparison,control,1006,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0085,200000,351,385,426,444,1.0,186884,4016,2674,6426,8,13,34
news-source-strategies,RQ1,E1-strategy-comparison,control,1007,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0059,200000,377,462,489,495,1.0,168057,19746,5029,7168,4,10,25
news-source-strategies,RQ1,E1-strategy-comparison,control,1008,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01206,200000,360,397,411,455,1.0,186705,5583,3175,4537,3,8,33
news-source-strategies,RQ1,E1-strategy-comparison,control,1009,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01194,200000,280,310,469,484,1.0,150729,37150,5271,6850,3,17,70
news-source-strategies,RQ1,E1-strategy-comparison,control,1010,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00402,200000,320,353,451,497,1.0,114359,72960,5297,7384,4,9,67
news-source-strategies,RQ1,E1-strategy-comparison,control,1011,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00282,200000,235,252,340,368,1.0,192359,3004,1844,2793,3,11,78
news-source-strategies,RQ1,E1-strategy-comparison,control,1012,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01344,200000,249,279,334,398,1.0,186774,4347,2596,6283,9,17,142
news-source-strategies,RQ1,E1-strategy-comparison,control,1013,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00708,200000,163,205,278,357,1.0,192870,3135,1662,2333,4,74,128
news-source-strategies,RQ1,E1-strategy-comparison,control,1014,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00284,200000,275,306,326,392,1.0,189667,4425,2338,3570,3,13,148
news-source-strategies,RQ1,E1-strategy-comparison,control,1015,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01062,200000,163,171,284,462,1.0,187496,5689,2938,3877,11,74,123
news-source-strategies,RQ1,E1-strategy-comparison,control,1016,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0083,200000,316,319,343,372,1.0,189810,3587,2349,4254,5,9,93
news-source-strategies,RQ1,E1-strategy-comparison,control,1017,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00958,200000,339,359,384,414,1.0,189824,4120,2471,3585,4,8,30
news-source-strategies,RQ1,E1-strategy-comparison,control,1018,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00554,200000,304,306,334,430,1.0,189529,4727,2390,3354,4,8,105
news-source-strategies,RQ1,E1-strategy-comparison,control,1019,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00332,200000,226,234,279,363,1.0,191720,3743,1818,2719,4,18,143
news-source-strategies,RQ1,E1-strategy-comparison,control,1020,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00804,200000,303,314,348,368,1.0,188564,4053,2137,5246,7,11,68
news-source-strategies,RQ1,E1-strategy-comparison,control,1021,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0159,200000,307,316,337,386,1.0,187213,6078,2425,4284,6,15,122
news-source-strategies,RQ1,E1-strategy-comparison,control,1022,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01196,200000,201,208,275,358,1.0,191124,3849,2212,2815,5,60,171
news-source-strategies,RQ1,E1-strategy-comparison,control,1023,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01056,200000,211,249,280,377,1.0,189664,4108,2531,3697,3,43,152
news-source-strategies,RQ1,E1-strategy-comparison,control,1024,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00968,200000,157,184,247,333,1.0,191922,3395,1848,2835,5,59,180
news-source-strategies,RQ1,E1-strategy-comparison,control,1025,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00588,200000,330,348,379,424,1.0,187477,4174,2275,6074,9,16,42
news-source-strategies,RQ1,E1-strategy-comparison,control,1026,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00222,200000,388,413,431,454,1.0,190120,4175,2411,3294,3,7,13
news-source-strategies,RQ1,E1-strategy-comparison,control,1027,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0066,200000,344,384,401,429,1.0,189267,4618,2529,3586,4,8,36
news-source-strategies,RQ1,E1-strategy-comparison,control,1028,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0237,200000,289,351,377,400,1.0,187173,5249,3176,4402,4,8,54
news-source-strategies,RQ1,E1-strategy-comparison,control,1029,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01412,200000,160,187,208,277,1.0,192024,3400,1912,2664,4,135,238
news-source-strategies,RQ1,E1-strategy-comparison,control,1030,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0065,200000,272,279,287,377,1.0,191190,4276,1998,2536,4,13,171
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1001,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01142,200000,247,248,324,385,1.0,190966,3600,2312,3122,3,11,127
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1002,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0028,200000,260,270,306,338,1.0,192078,3365,1794,2763,3,8,158
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1003,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01,200000,203,253,332,383,1.0,189672,4889,2278,3161,7,39,134
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1004,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00466,200000,263,274,391,462,1.0,186703,5497,3139,4661,3,14,89
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1005,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0124,200000,337,363,395,412,1.0,186732,5704,2987,4577,3,9,45
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1006,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00814,200000,348,379,422,440,1.0,186323,4277,2726,6674,8,13,34
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1007,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0059,200000,386,469,487,495,1.0,169652,18226,5030,7092,4,10,22
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1008,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01216,200000,335,386,401,450,1.0,186801,5621,3018,4560,3,8,36
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1009,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01162,200000,272,306,468,480,1.0,150748,37414,4970,6868,3,18,70
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1010,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00426,200000,319,340,451,494,1.0,126656,60761,5100,7483,4,9,68
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1011,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00276,200000,234,252,344,370,1.0,192005,3145,1867,2983,3,11,78
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1012,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01242,200000,246,274,330,397,1.0,186799,4362,2551,6288,9,17,142
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1013,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00714,200000,163,199,267,352,1.0,192753,3225,1640,2382,4,74,128
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1014,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0029,200000,268,297,318,388,1.0,189653,4440,2310,3597,3,13,148
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1015,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01078,200000,158,166,282,454,1.0,187236,5886,2943,3935,11,76,126
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1016,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0083,200000,311,313,339,368,1.0,189382,3826,2344,4448,5,9,93
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1017,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00994,200000,335,355,382,415,1.0,189216,4407,2544,3833,4,8,35
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1018,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.005,200000,307,310,336,430,1.0,189549,4675,2321,3455,4,8,105
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1019,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0034,200000,250,256,300,370,1.0,191488,3940,1794,2778,4,16,141
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1020,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.00882,200000,305,317,350,373,1.0,188394,4019,2160,5427,7,11,68
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1021,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.01384,200000,310,318,339,391,1.0,187132,6228,2324,4316,6,15,122
