study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,fake_repost_share_all,fake_repost_share_final100,target_share_all,target_share_final100,fake_repost_share_decisions,target_share_decisions,participation_rate,fake_repost_share_decisions_final100,target_share_decisions_final100,total_decisions,cumulative_fake_reposts,target_fake_rate_all,target_unique_reposters_p400,target_unique_reposters_p25,target_unique_reposters_p50,target_unique_reposters_p100,target_unique_reposters_p200,target_first_repost_period,fake_repost_share_during,fake_repost_share_post100,selections_traditional_media_all,selections_unknown_media_all,selections_fake_news_source_all,selections_mixed_source_all,target_time_to_25pct_final,target_time_to_50pct_final,target_time_to_75pct_final
news-source-strategies,RQ1,E1-strategy-comparison,control,1001,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10526,0.1243,0.01116,0.01126,0.10526,0.01116,1.0,0.1243,0.01126,200000,21052,0.6875,452,252,252,329,389,1.0,0.10526,,191104,3564,2232,3100,3,11,127
news-source-strategies,RQ1,E1-strategy-comparison,control,1002,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0818199999999999,0.04374,0.0084949999999999,0.00262,0.08182,0.008495,1.0,0.04374,0.00262,200000,16364,0.6875,425,264,275,311,341,1.0,0.0818199999999999,,192626,3137,1699,2538,3,8,152
news-source-strategies,RQ1,E1-strategy-comparison,control,1003,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.107925,0.13006,0.01123,0.00964,0.107925,0.01123,1.0,0.13006,0.00964,200000,21585,0.66,455,202,252,334,384,1.0,0.107925,,190277,4532,2246,2945,7,38,131
news-source-strategies,RQ1,E1-strategy-comparison,control,1004,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12174,0.06578,0.015715,0.00538,0.12174,0.015715,1.0,0.06578,0.00538,200000,24348,0.6775,490,267,278,396,467,1.0,0.12174,,186843,5540,3143,4474,3,13,89
news-source-strategies,RQ1,E1-strategy-comparison,control,1005,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.131575,0.1216,0.015335,0.01264,0.131575,0.015335,1.0,0.1216,0.01264,200000,26315,0.65,480,344,371,409,421,1.0,0.131575,,186839,5615,3067,4479,3,9,35
news-source-strategies,RQ1,E1-strategy-comparison,control,1006,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1061599999999999,0.0788199999999999,0.01337,0.0085,0.10616,0.01337,1.0,0.07882,0.0085,200000,21232,0.6675,478,351,385,426,444,1.0,0.1061599999999999,,186884,4016,2674,6426,8,13,34
news-source-strategies,RQ1,E1-strategy-comparison,control,1007,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1485749999999999,0.05736,0.025145,0.0059,0.148575,0.025145,1.0,0.05736,0.0059,200000,29715,0.6975,499,377,462,489,495,1.0,0.1485749999999999,,168057,19746,5029,7168,4,10,25
news-source-strategies,RQ1,E1-strategy-comparison,control,1008,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1240849999999999,0.11724,0.015875,0.01206,0.124085,0.015875,1.0,0.11724,0.01206,200000,24817,0.6625,488,360,397,411,455,1.0,0.1240849999999999,,186705,5583,3175,4537,3,8,33
news-source-strategies,RQ1,E1-strategy-comparison,control,1009,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.15888,0.0776599999999999,0.026355,0.01194,0.15888,0.026355,1.0,0.07766,0.01194,200000,31776,0.6775,499,280,310,469,484,1.0,0.15888,,150729,37150,5271,6850,3,17,70
news-source-strategies,RQ1,E1-strategy-comparison,control,1010,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.15375,0.07576,0.0264849999999999,0.0040199999999999,0.15375,0.026485,1.0,0.07576,0.00402,200000,30750,0.64,497,320,353,451,497,1.0,0.15375,,114359,72960,5297,7384,4,9,67
news-source-strategies,RQ1,E1-strategy-comparison,control,1011,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08911,0.0547999999999999,0.00922,0.00282,0.08911,0.00922,1.0,0.0548,0.00282,200000,17822,0.695,426,235,252,340,368,1.0,0.08911,,192359,3004,1844,2793,3,11,78
news-source-strategies,RQ1,E1-strategy-comparison,control,1012,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12685,0.14018,0.01298,0.0134399999999999,0.12685,0.01298,1.0,0.14018,0.01344,200000,25370,0.64,467,249,279,334,398,1.0,0.12685,,186774,4347,2596,6283,9,17,142
news-source-strategies,RQ1,E1-strategy-comparison,control,1013,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08813,0.08674,0.00831,0.00708,0.08813,0.00831,1.0,0.08674,0.00708,200000,17626,0.6725,412,163,205,278,357,1.0,0.08813,,192870,3135,1662,2333,4,74,128
news-source-strategies,RQ1,E1-strategy-comparison,control,1014,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.114545,0.0533,0.0116899999999999,0.0028399999999999,0.114545,0.01169,1.0,0.0533,0.00284,200000,22909,0.7075,457,275,306,326,392,1.0,0.114545,,189667,4425,2338,3570,3,13,148
