research_question,experiment,condition,n,strategy,target_reach,wom,wom_receiver_scale,wom_label_delay,wom_label_coverage,wom_label_sensitivity,wom_label_specificity,contacts,user_activity,network_topology,memory_half_life,base,source_attribute_contrast,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,fake_repost_share_decisions_mean,fake_repost_share_decisions_sd,target_share_decisions_mean,target_share_decisions_sd,participation_rate_mean,participation_rate_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd
RQ3,E3b-recommendation-realism,discovery_control_r14_7,30,NONE,14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.15115299999999998,0.012027278592633812,0.14878000000000002,0.024273610475519316,0.0056584999999999995,0.001787161180813554,0.0027160000000000005,0.001298023962373789,0.15118001367432002,0.012029081114442371,0.005659516287191931,0.0017875015620889606,0.9998211666666665,2.46241867827569e-05,30230.6,2405.4557185267627,51.9,8.355671210579695
RQ3,E3b-recommendation-realism,discovery_credibility_r14_7,30,CREDIBILITY_CAMOUFLAGE,14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.1555975,0.01167046395304447,0.15253533333333333,0.023500270098716816,0.0142475,0.005157134621085627,0.009212,0.004527950286068018,0.15562530756439022,0.011672171013352085,0.014250059736811777,0.005158097984432035,0.9998211666666665,2.46241867827569e-05,31119.5,2334.092790608894,61.36666666666667,11.778072359505487
RQ3,E3b-recommendation-realism,discovery_informational_r14_7,30,INFORMATIONAL_CAMOUFLAGE,14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.15946483333333333,0.012094536418489173,0.15704666666666664,0.024329589382894028,0.021687666666666668,0.005917326215465046,0.01758266666666667,0.005419102186317133,0.15949334376893465,0.012096468683165357,0.021691572330909813,0.005918530104909742,0.9998211666666665,2.46241867827569e-05,31892.966666666667,2418.9072836978344,63.2,11.937769675596284
RQ3,E3b-recommendation-realism,discovery_combined_r14_7,30,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.16909649999999996,0.012227748908203379,0.171084,0.023168764585402325,0.04183666666666667,0.010882803211816634,0.04718933333333333,0.012831892094022756,0.169126731228936,0.012229703455212007,0.041844178691793,0.010884879425282058,0.9998211666666665,2.46241867827569e-05,33819.3,2445.549781640676,75.06666666666666,13.756336053222725
RQ3,E3b-recommendation-realism,discovery_control_r5_0,30,NONE,5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.148928,0.010494700682429829,0.1462173333333333,0.025986723789914984,0.0022896666666666664,0.001019730300156601,0.0009819999999999998,0.0009627310291471645,0.14895750628695745,0.01049627927844064,0.002290128272903257,0.00101996886204509,0.9998016666666667,2.937079634877295e-05,29785.6,2098.940136485966,18.766666666666666,5.840898214660395
RQ3,E3b-recommendation-realism,discovery_credibility_r5_0,30,CREDIBILITY_CAMOUFLAGE,5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.15053316666666666,0.01030931462681747,0.14763466666666666,0.025586933051628243,0.005266666666666665,0.002502634933264419,0.003492666666666666,0.002386632215766253,0.1505630035311204,0.010311022137851601,0.005267735063165647,0.0025031903131536447,0.9998016666666667,2.937079634877295e-05,30106.633333333335,2061.862925363494,22.766666666666666,7.122975614811229
RQ3,E3b-recommendation-realism,discovery_informational_r5_0,30,INFORMATIONAL_CAMOUFLAGE,5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.1517011666666667,0.010226579018398093,0.14904933333333334,0.025152240310629948,0.0076391666666666665,0.003058997492793929,0.00603,0.0031963416588343617,0.15173123307745853,0.010228229697621017,0.007640704166885384,0.0030596852605643027,0.9998016666666667,2.937079634877295e-05,30340.233333333334,2045.3158036796196,23.233333333333334,6.4577317109473285
RQ3,E3b-recommendation-realism,discovery_combined_r5_0,30,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.15511833333333333,0.010826001453503705,0.15422333333333332,0.02448830605275369,0.014715166666666668,0.005592085152300053,0.0165,0.00618302905345447,0.15514907685127455,0.010827769100167535,0.014718099843006626,0.005593250747025376,0.9998016666666667,2.937079634877295e-05,31023.666666666668,2165.2002907007413,27.733333333333334,9.123419403337513
RQ3,E3b-recommendation-realism,discovery_control_r1_0,30,NONE,1.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.14712783333333332,0.008082233675053011,0.141412,0.022704898210708212,0.000438,0.0005099486113393157,0.00022066666666666667,0.000350427653346429,0.14715849301952003,0.008085310176600337,0.0004380947125481595,0.0005100661234025256,0.9997921666666667,2.9933355093045736e-05,29425.566666666666,1616.4467350106024,3.6,2.8235463150271594
RQ3,E3b-recommendation-realism,discovery_credibility_r1_0,30,CREDIBILITY_CAMOUFLAGE,1.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.14748033333333332,0.008167718409873622,0.14174533333333333,0.022734474464904664,0.0011928333333333335,0.0013165384885957658,0.0010046666666666665,0.001231580798960351,0.14751107474369765,0.008170959995424162,0.0011930938454210722,0.0013168485648675098,0.9997921666666667,2.9933355093045736e-05,29496.066666666666,1633.5436819747244,5.1,4.146872523256283
RQ3,E3b-recommendation-realism,discovery_informational_r1_0,30,INFORMATIONAL_CAMOUFLAGE,1.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.14769666666666664,0.008401424071952417,0.14195799999999997,0.02286749800104039,0.0015525000000000003,0.0018356825987758001,0.0013719999999999997,0.001808230989211508,0.14772745738941448,0.008404758936839956,0.001552847601132915,0.0018361240825486447,0.9997921666666667,2.9933355093045736e-05,29539.333333333332,1680.2848143904844,5.366666666666666,4.88123312100633
RQ3,E3b-recommendation-realism,discovery_combined_r1_0,30,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",1.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.148534,0.008834717117809948,0.14323,0.023274180899694925,0.0031899999999999997,0.0030936099323917846,0.0039173333333333326,0.003786013218671327,0.14856497110411382,0.008838188795500608,0.0031907015133321027,0.003094334962740111,0.9997921666666667,2.9933355093045736e-05,29706.8,1766.94342356199,6.366666666666666,5.088752528749121
RQ3,E3b-recommendation-realism,flag_only_control_r14_7,30,NONE,14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.3039506666666666,0.0131813512946899,0.3274033333333333,0.020725045373825517,0.16403183333333338,0.005840067087966887,0.2021,0.005020196451713127,0.3040049734103568,0.013182404409096989,0.16406115694204595,0.005840652558471107,0.9998211666666665,2.46241867827569e-05,60790.13333333333,2636.270258937979,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_credibility_r14_7,30,CREDIBILITY_CAMOUFLAGE,14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.323193,0.011565599452240038,0.3401513333333333,0.01929598970901919,0.20927133333333334,0.004562725466008328,0.233594,0.006853197894363645,0.323250749772324,0.011566112815392845,0.20930876296931392,0.0045634052498579785,0.9998211666666665,2.46241867827569e-05,64638.6,2313.1198904480084,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_informational_r14_7,30,INFORMATIONAL_CAMOUFLAGE,14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.33061533333333337,0.010839952358125784,0.346076,0.017933315096345895,0.2270065,0.005648673501591878,0.24758066666666664,0.009410326658309582,0.33067442742337766,0.010840684593157724,0.22704714057110384,0.005651216957113761,0.9998211666666665,2.46241867827569e-05,66123.06666666667,2167.9904716251567,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_combined_r14_7,30,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",14.7,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.36850716666666655,0.00892472878785577,0.37994999999999995,0.015994268585534217,0.3138606666666667,0.011320412196508159,0.32748600000000005,0.02089350214119542,0.3685730348435584,0.00892449471325373,0.31391686690151793,0.011324176097722344,0.9998211666666665,2.46241867827569e-05,73701.43333333333,1784.945757571155,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_control_r5_0,30,NONE,5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.2954546666666667,0.013826242847005397,0.32870199999999994,0.015886704352143458,0.14203683333333336,0.012933895023870644,0.20247533333333328,0.006394578918132917,0.2955132950200187,0.013829322827655489,0.1420650522040122,0.012936911174677225,0.9998016666666667,2.937079634877295e-05,59090.933333333334,2765.248569401079,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_credibility_r5_0,30,CREDIBILITY_CAMOUFLAGE,5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.3172828333333334,0.011069188494952179,0.3418533333333333,0.014200366516234792,0.1939945,0.009281241960405204,0.23353266666666664,0.006392628261674069,0.31734574394139625,0.01107052946931345,0.1940329584154482,0.009282584939168555,0.9998016666666667,2.937079634877295e-05,63456.566666666666,2213.8376989904355,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_informational_r5_0,30,INFORMATIONAL_CAMOUFLAGE,5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.32353666666666664,0.010796134871375011,0.3472906666666667,0.01384134310139644,0.20970149999999999,0.009340078744222439,0.2458126666666667,0.00838069124518535,0.32360083295248343,0.010797832470479985,0.20974309128686308,0.009341673806958065,0.9998016666666667,2.937079634877295e-05,64707.333333333336,2159.2269742750022,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_combined_r5_0,30,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",5.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.36391016666666676,0.007285701097938736,0.38081533333333334,0.012047881122431027,0.3038366666666667,0.009082241988640792,0.32383999999999996,0.01908811076072729,0.3639823444748375,0.007286582112201785,0.3038969499421664,0.009084395292972157,0.9998016666666667,2.937079634877295e-05,72782.03333333334,1457.1402195877479,500.0,0.0
RQ3,E3b-recommendation-realism,flag_only_control_r1_0,30,NONE,1.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.27070483333333334,0.020431630206674614,0.31594999999999995,0.030255978149666612,0.09035983333333333,0.031033317565307052,0.18585533333333334,0.037112377964244214,0.2707613151231377,0.020438648323975444,0.09037889702534055,0.03104038456838907,0.9997921666666667,2.9933355093045736e-05,54140.96666666667,4086.3260413349244,485.43333333333334,60.842183264309455
RQ3,E3b-recommendation-realism,flag_only_credibility_r1_0,30,CREDIBILITY_CAMOUFLAGE,1.0,1.0,0.5,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.33,,1.0,0.30217783333333337,0.01407272010587012,0.33624533333333334,0.022193249009759605,0.16215633333333335,0.02090323415553008,0.23339800000000002,0.006806828923955707,0.30224081368302474,0.014079310977445178,0.16219019935914247,0.02090866383040601,0.9997921666666667,2.9933355093045736e-05,60435.566666666666,2814.5440211740224,500.0,0.0
