strategy,metric,factor,bootstrap_resamples,rank1_probability,median_rank,rank_95_low,rank_95_high,loo_rank_min,loo_rank_max
credibility,fake_repost_share_all,base,10000,0.5433,1.0,1.0,9.0,1,9
credibility,fake_repost_share_all,contacts,10000,0.0978,7.0,1.0,9.0,4,9
credibility,fake_repost_share_all,memory_half_life,10000,0.0016,6.0,3.0,7.0,3,7
credibility,fake_repost_share_all,mixed_fake_probability,10000,0.0,7.0,4.0,10.0,4,10
credibility,fake_repost_share_all,source_attribute_contrast,10000,0.0417,3.0,1.0,5.0,3,5
credibility,fake_repost_share_all,target_fake_probability,10000,0.0,8.0,5.0,10.0,5,9
credibility,fake_repost_share_all,target_reach,10000,0.0,5.0,2.0,8.0,2,8
credibility,fake_repost_share_all,traditional_fake_probability,10000,0.0,10.0,7.0,10.0,7,10
credibility,fake_repost_share_all,unknown_fake_probability,10000,0.2982,3.0,1.0,9.0,1,8
credibility,fake_repost_share_all,wom_receiver_scale,10000,0.0174,4.0,2.0,6.0,2,6
credibility,fake_repost_share_final100,base,10000,0.546,1.0,1.0,8.0,1,7
credibility,fake_repost_share_final100,contacts,10000,0.094,8.0,1.0,9.0,4,9
credibility,fake_repost_share_final100,memory_half_life,10000,0.0,3.0,2.0,5.0,3,4
credibility,fake_repost_share_final100,mixed_fake_probability,10000,0.0,7.0,6.0,10.0,6,8
credibility,fake_repost_share_final100,source_attribute_contrast,10000,0.3547,2.0,1.0,7.0,1,6
credibility,fake_repost_share_final100,target_fake_probability,10000,0.0,9.0,8.0,10.0,8,10
credibility,fake_repost_share_final100,target_reach,10000,0.0,4.0,2.0,7.0,2,5
credibility,fake_repost_share_final100,traditional_fake_probability,10000,0.0053,10.0,2.0,10.0,5,10
credibility,fake_repost_share_final100,unknown_fake_probability,10000,0.0,6.0,3.0,10.0,3,9
credibility,fake_repost_share_final100,wom_receiver_scale,10000,0.0,5.0,2.0,7.0,2,7
credibility,target_share_all,base,10000,0.6214,1.0,1.0,5.0,1,4
credibility,target_share_all,contacts,10000,0.0974,6.0,1.0,9.0,4,7
credibility,target_share_all,memory_half_life,10000,0.1601,2.0,1.0,4.0,1,2
credibility,target_share_all,mixed_fake_probability,10000,0.0,8.0,7.0,9.0,8,9
credibility,target_share_all,source_attribute_contrast,10000,0.1202,4.0,1.0,5.0,2,5
credibility,target_share_all,target_fake_probability,10000,0.0,9.0,8.0,10.0,9,10
credibility,target_share_all,target_reach,10000,0.001,3.0,2.0,4.0,3,3
credibility,target_share_all,traditional_fake_probability,10000,0.0,10.0,7.0,10.0,7,10
credibility,target_share_all,unknown_fake_probability,10000,0.0,6.0,4.0,9.0,5,8
credibility,target_share_all,wom_receiver_scale,10000,0.0,6.0,5.0,7.0,6,7
credibility,target_share_final100,base,10000,0.5714,1.0,1.0,7.0,1,7
credibility,target_share_final100,contacts,10000,0.0882,9.0,1.0,10.0,4,10
credibility,target_share_final100,memory_half_life,10000,0.0072,2.0,2.0,3.0,2,2
credibility,target_share_final100,mixed_fake_probability,10000,0.0,7.0,6.0,8.0,6,8
