strategy,factor,metric,n,mu,mu_star,sigma
combined,base,cumulative_fake_reposts,80,83.5,1077.2,3066.787731053744
combined,base,fake_repost_share_all,80,0.00041749999999999426,0.005386000000000007,0.015333938655268714
combined,base,fake_repost_share_decisions,80,0.0004176813456265929,0.005386988463692882,0.015336647940258625
combined,base,fake_repost_share_final100,80,-0.001967999999999999,0.004770000000000006,0.010611142746177105
combined,base,participation_rate,80,0.0,0.0,0.0
combined,base,target_share_all,80,-0.0016344999999999992,0.007361499999999998,0.014696788928542403
combined,base,target_share_decisions,80,-0.0016346890293601215,0.007362830727158744,0.014699309936449488
combined,base,target_share_final100,80,-0.005552,0.008692,0.018011860396325217
combined,base,target_unique_reposters_p400,80,3.45,100.05,201.53109506595004
combined,contacts,cumulative_fake_reposts,80,-137.19999999999993,1062.4249999999997,1633.4535356613474
combined,contacts,fake_repost_share_all,80,-0.0006860000000000037,0.005312125000000003,0.008167267678306736
combined,contacts,fake_repost_share_decisions,80,-0.0006862740500304028,0.005313160901874066,0.008168854559052193
combined,contacts,fake_repost_share_final100,80,-0.0010744999999999995,0.0030099999999999997,0.005945428176551436
combined,contacts,participation_rate,80,0.0,0.0,0.0
combined,contacts,target_share_all,80,-0.0013641249999999995,0.008858937499999997,0.013477559279400211
combined,contacts,target_share_decisions,80,-0.0013646273502252097,0.008860689164084596,0.013480239118720197
combined,contacts,target_share_final100,80,-0.0017552499999999992,0.004679499999999999,0.009373224858100132
combined,contacts,target_unique_reposters_p400,80,-19.731249999999992,117.20624999999998,201.4913062130234
combined,memory_half_life,cumulative_fake_reposts,80,-901.7499999999997,1612.5499999999997,2858.1811933775675
combined,memory_half_life,fake_repost_share_all,80,-0.004508749999999991,0.008062750000000011,0.014290905966887842
combined,memory_half_life,fake_repost_share_decisions,80,-0.004509515513756636,0.008064204099907008,0.014293459010545847
combined,memory_half_life,fake_repost_share_final100,80,-0.009422999999999992,0.010435,0.02226929931883576
combined,memory_half_life,participation_rate,80,0.0,0.0,0.0
combined,memory_half_life,target_share_all,80,-0.007411999999999998,0.014348999999999997,0.02402941711920219
combined,memory_half_life,target_share_decisions,80,-0.007413243639907226,0.01435158589728262,0.02403372927095609
combined,memory_half_life,target_share_final100,80,-0.016650999999999996,0.018286999999999994,0.0380620992789282
combined,memory_half_life,target_unique_reposters_p400,80,-211.39999999999995,238.29999999999995,394.5759332354262
