condition,policy,strategy,target_reach,wom_receiver_scale,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,fake_repost_share_all,30,0.004444499999999999,0.0004256974230330879,0.0035738510118332226,0.0053151489881667745,1.9061683840186936,2.459761806496764e-11,0.15115299999999998,0.1555975,2.940398139633351,4.673547432343851e-10
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,fake_repost_share_final100,30,0.0037553333333333353,0.0004228525824840259,0.002890502697384642,0.004620163969282029,1.621432514009724,9.070060950331648e-10,0.14878000000000002,0.15253533333333333,2.5240847784200398,2.086114018576279e-08
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,target_share_all,30,0.008588999999999998,0.0007012254216398767,0.007154832981845119,0.010023167018154876,2.236270439925127,5.497293931337595e-13,0.0056584999999999995,0.0142475,151.78934346558273,1.099458786267519e-11
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,target_share_final100,30,0.006496000000000001,0.0007064630372415146,0.0050511208551625554,0.007940879144837446,1.6787883422966232,4.27474081691585e-10,0.0027160000000000005,0.009212,239.17525773195877,9.831903878906455e-09
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,fake_repost_share_decisions,30,0.004445293890070224,0.0004257749158975489,0.003574486411199998,0.0053161013689404495,1.9061618767893915,2.4599557834439562e-11,0.15118001367432002,0.15562530756439022,2.9403978621449993,4.673915988543517e-10
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,target_share_decisions,30,0.008590543449619846,0.0007013563173028747,0.007156108719774977,0.010024978179464714,2.2362548643269813,5.49823025552602e-13,0.005659516287191931,0.014250059736811777,151.78935820117934,1.099646051105204e-11
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665,0.0,
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,cumulative_fake_reposts,30,888.9,85.13948460661751,714.7702023666449,1063.029797633355,1.9061683840186956,2.4597618064967088e-11,30230.6,31119.5,2.9403981396333516,4.673547432343747e-10
discovery_credibility_r14_7,discovery,credibility,14.7,0.5,target_unique_reposters_p400,30,9.466666666666667,1.0556180663079373,7.307685306682869,11.625648026650465,1.6373052095286298,7.355856177563663e-10,51.9,61.36666666666667,18.24020552344252,3.6779280887818316e-08
discovery_informational_r14_7,discovery,informational,14.7,0.5,fake_repost_share_all,30,0.008311833333333336,0.00044585172805537286,0.007399964163118398,0.009223702503548273,3.4036566601386773,1.0930558750723158e-17,0.15115299999999998,0.15946483333333333,5.498953598892074,3.1698620377097156e-16
discovery_informational_r14_7,discovery,informational,14.7,0.5,fake_repost_share_final100,30,0.008266666666666669,0.0005055765647607192,0.007232646490050422,0.009300686843282916,2.985264827199367,3.5592872321528417e-16,0.14878000000000002,0.15704666666666664,5.556302370390286,1.2813434035750231e-14
discovery_informational_r14_7,discovery,informational,14.7,0.5,target_share_all,30,0.016029166666666667,0.000866446836067742,0.014257083914208827,0.017801249419124508,3.377601408371084,1.3432582085519904e-17,0.0056584999999999995,0.021687666666666668,283.2758976171542,3.895448804800772e-16
discovery_informational_r14_7,discovery,informational,14.7,0.5,target_share_final100,30,0.014866666666666667,0.0009564461678686633,0.012910514613037445,0.01682281872029589,2.8378696615997523,1.3361179044389997e-15,0.0027160000000000005,0.01758266666666667,547.373588610702,3.874741922873099e-14
discovery_informational_r14_7,discovery,informational,14.7,0.5,fake_repost_share_decisions,30,0.008313330094614662,0.0004459402798071387,0.00740127981573215,0.009225380373497174,3.4035935804201345,1.0935996909245908e-17,0.15118001367432002,0.15949334376893465,5.498961068044139,3.171439103681313e-16
discovery_informational_r14_7,discovery,informational,14.7,0.5,target_share_decisions,30,0.01603205604371789,0.0008666198258235637,0.014259619487483657,0.01780449259995212,3.377535907007616,1.3439567177659728e-17,0.005659516287191931,0.021691572330909813,283.27608279880894,3.897474481521321e-16
discovery_informational_r14_7,discovery,informational,14.7,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665,0.0,
