condition,strategy,window,window_start,window_end,source,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,during,1,25,TRADITIONAL_MEDIA,30,-0.000576000000000008,0.0013513526301578299,-0.0033398264561727933,0.0021878264561727774,-0.07782034732763349,0.673080534215737
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,during,1,25,UNKNOWN_MEDIA,30,-0.001589333333333329,0.0010238084111957896,-0.0036832566437757447,0.0005045899771090867,-0.2834233790040194,0.1314190936571944
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,during,1,25,FAKE_NEWS_SOURCE,30,0.002709333333333333,0.0005094380346137408,0.0016674155641114845,0.003751251102555182,0.9709803624383094,1.0474350570894766e-05
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,during,1,25,MIXED_SOURCE,30,-0.0005439999999999973,0.00041960945169767486,-0.0014021976887311324,0.000314197688731138,-0.23669713990577393,0.2050447791510118
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,26,50,TRADITIONAL_MEDIA,30,0.004677333333333331,0.0016276404848407783,0.0013484347670017268,0.008006231899664935,0.5246615165731984,0.007517120120033165
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,26,50,UNKNOWN_MEDIA,30,-0.0027840000000000018,0.0015312080423526765,-0.005915672076491683,0.00034767207649167957,-0.3319513216400172,0.07938164857629054
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,26,50,FAKE_NEWS_SOURCE,30,-0.0011173333333333332,0.00036679629892382305,-0.0018675159965169039,-0.00036715067014976273,-0.5561567121539255,0.004898832623456532
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,26,50,MIXED_SOURCE,30,-0.0007760000000000005,0.0005058502799713828,-0.0018105799870785995,0.0002585799870785983,-0.2800780662136198,0.13585585614272042
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,51,75,TRADITIONAL_MEDIA,30,0.0027893333333333173,0.0021153972444710456,-0.001537139815944705,0.0071158064826113395,0.24073977768806815,0.19762676372340113
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,51,75,UNKNOWN_MEDIA,30,-0.0014266666666666627,0.0013251135135356475,-0.004136828103740384,0.0012834947704070583,-0.196566182794174,0.29051765875690544
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,51,75,FAKE_NEWS_SOURCE,30,-0.0005973333333333334,0.000325012089371377,-0.0012620576925671569,6.739102590049006e-05,-0.33554950899336455,0.07634504838792276
credibility_p1_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,51,75,MIXED_SOURCE,30,-0.0007653333333333336,0.0005033505515818752,-0.0017948008018124307,0.0002641341351457636,-0.2775999942517871,0.13922029442721712
