condition,strategy,network_topology,user_activity,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
top0_a0_25_credibility,credibility,0,0.25,fake_repost_share_all,10,0.00015049999999999648,0.00010696689519036638,-9.147592813717569e-05,0.00039247592813716867,0.4449253079734078,0.19301573393319849,0.076479,0.0766295,0.196786045842645,0.6334418016861307
top0_a0_25_credibility,credibility,0,0.25,fake_repost_share_final100,10,0.0001559999999999978,0.00024527173139647055,-0.0003988432040104453,0.000710843204010441,0.20113011482307291,0.5405921439126815,0.07733799999999999,0.07749400000000001,0.201711965657242,1.0
top0_a0_25_credibility,credibility,0,0.25,target_share_all,10,0.00047699999999999826,0.00010614246191898021,0.00023688906949294149,0.0007171109305070551,1.4211149964202787,0.0015019369218660225,0.047429,0.047906,1.005713803790926,0.007509684609330112
top0_a0_25_credibility,credibility,0,0.25,target_share_final100,10,0.000426,0.0002414042253151331,-0.00012009429742638008,0.0009720942974263801,0.5580392312823701,0.11143826028876502,0.04838,0.048806,0.8805291442744936,0.19133415871362316
top0_a0_25_credibility,credibility,0,0.25,fake_repost_share_decisions,10,0.000603628502975434,0.0004285689299070709,-0.0003658617715666082,0.0015731187775174763,0.4453988137716848,0.19258610623698927,0.30648679954201546,0.3070904280449908,0.19695089768219667,0.6316964839878476
top0_a0_25_credibility,credibility,0,0.25,target_share_decisions,10,0.0019109917183426528,0.00042615794724999733,0.0009469554654876918,0.002875027971197614,1.418039123446569,0.0015231080971564064,0.19007857937938583,0.19198957109772846,1.0053693186166046,0.007615540485782032
top0_a0_25_credibility,credibility,0,0.25,participation_rate,10,0.0,0.0,0.0,0.0,,,0.24952649999999998,0.24952649999999998,0.0,
top0_a0_25_credibility,credibility,0,0.25,cumulative_fake_reposts,10,30.1,21.393379038073128,-18.295185627434094,78.4951856274341,0.44492530797342134,0.1930157339331862,15295.8,15325.9,0.19678604584264964,0.6334418016861324
top0_a0_25_credibility,credibility,0,0.25,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top0_a0_25_combined,combined,0,0.25,fake_repost_share_all,10,0.0008394999999999986,0.00010889967350221497,0.000593151823560577,0.00108584817643942,2.437777828284631,2.9725712415101498e-05,0.076479,0.0773185,1.0976869467435486,0.00011890284966040599
top0_a0_25_combined,combined,0,0.25,fake_repost_share_final100,10,0.0008379999999999985,0.00020958053344716945,0.00036389589507941536,0.0013121041049205815,1.2644250091524363,0.0031176498997128846,0.07733799999999999,0.078176,1.083555302697249,0.010925146741930515
top0_a0_25_combined,combined,0,0.25,target_share_all,10,0.0023195000000000012,0.00016771743764107917,0.0019400967971140728,0.0026989032028859297,4.373369362139608,2.2793172917643776e-07,0.047429,0.0497485,4.89046785721816,6.837951875293133e-07
top0_a0_25_combined,combined,0,0.25,target_share_final100,10,0.001985999999999998,0.00021809376169182134,0.0014926376348272398,0.0024793623651727563,2.879625434664558,7.756166957440426e-06,0.04838,0.050366,4.105002066969819,3.1024667829761706e-05
top0_a0_25_combined,combined,0,0.25,fake_repost_share_decisions,10,0.0033655907862098987,0.00043820788887992103,0.0023742956715855053,0.004356885900834292,2.42874051941509,3.061289323804822e-05,0.30648679954201546,0.30985239032822537,1.0981193288712974,0.0001224515729521929
top0_a0_25_combined,combined,0,0.25,target_share_decisions,10,0.009297141258512545,0.0006743981450965028,0.007771546664004668,0.010822735853020422,4.359463666825024,2.3428377017148613e-07,0.19007857937938583,0.19937572063789835,4.891209356082144,7.028513105144584e-07
top0_a0_25_combined,combined,0,0.25,participation_rate,10,0.0,0.0,0.0,0.0,,,0.24952649999999998,0.24952649999999998,0.0,
top0_a0_25_combined,combined,0,0.25,cumulative_fake_reposts,10,167.9,21.77993470044287,118.63036471211599,217.16963528788403,2.437777828284649,2.972571241509975e-05,15295.8,15463.7,1.0976869467435506,0.000118902849660399
top0_a0_25_combined,combined,0,0.25,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top0_a0_5_credibility,credibility,0,0.5,fake_repost_share_all,10,0.0016195,0.000723534323074355,-1.7248351473002485e-05,0.0032562483514730024,0.7078183449379211,0.05198585831577404,0.12094900000000001,0.1225685,1.3389941214892227,0.25992929157887024
top0_a0_5_credibility,credibility,0,0.5,fake_repost_share_final100,10,0.002693999999999997,0.0013823717139595819,-0.0004331420743833021,0.005821142074383296,0.6162724490427971,0.08312346981372473,0.110146,0.11283999999999998,2.445844606249884,0.4745312538971118
top0_a0_5_credibility,credibility,0,0.5,target_share_all,10,0.002477999999999999,0.0006907106646217517,0.0009155039226047947,0.004040496077395203,1.1345016724460846,0.005860633565939451,0.0649175,0.06739550000000001,3.817152539762004,0.023442534263757805
top0_a0_5_credibility,credibility,0,0.5,target_share_final100,10,0.003183999999999997,0.0009939496969162975,0.0009355295736596901,0.005432470426340304,1.0129981528455574,0.010772693148782986,0.060372,0.063556,5.273968064665734,0.04309077259513194
