phase,memory,wom,fake_effect,true_effect,contacts,friends,source_reach,target_reach,cell,timing,scope,fake,fake_se,fake_low,fake_high,n_pairs,target,target_se,target_low,target_high,cumulative,cumulative_se,cumulative_low,cumulative_high
confirmation,25,1,-1,0,15,0.33,0,default,confirm_f-1_t0_noncred_p1,1,non-credibility,0.028938333333333333,0.0010176211366602875,0.02685706442017494,0.031019602246491727,30,0.05638916666666664,0.0018100786177651005,0.05268714022302287,0.060091193110310415,4354.166666666667,114.86480892554479,4119.241754614233,4589.091578719101
confirmation,25,1,-1,1,15,0.33,0,default,confirm_f-1_t1_noncred_p1,1,non-credibility,0.00017083333333333116,0.00012243977720555418,-7.958412838359233e-05,0.00042125079505025466,30,0.00043499999999999995,8.207614911089313e-05,0.00026713542692629764,0.0006028645730737023,858.6666666666666,32.53854772608337,792.1178643453312,925.215468988002
confirmation,25,1,0,0,15,0.33,0,default,confirm_f0_t0_noncred_p1,1,non-credibility,0.013617499999999979,0.000670641687481854,0.012245883741512194,0.014989116258487763,30,0.026542499999999955,0.0015056007269029135,0.02346320076412157,0.02962179923587834,2698.0,88.49284664901438,2517.011806916732,2878.988193083268
confirmation,25,1,0,1,15,0.33,0,default,confirm_f0_t1_noncred_p1,1,non-credibility,0.00017166666666667275,0.00011868371309825445,-7.106878140025061e-05,0.0004144021147335961,30,0.00025333333333333333,7.898178654198693e-05,9.179744230906385e-05,0.0004148692243576028,797.2,31.3503890972939,733.0812549258206,861.3187450741794
confirmation,25,1,1,0,15,0.33,0,default,confirm_f1_t0_noncred_p1,1,non-credibility,0.005740833333333318,0.0005222980324243334,0.004672613915391484,0.006809052751275153,30,0.011016666666666638,0.0009479729836750515,0.009077844220513442,0.012955489112819834,2082.6666666666665,68.95806377347738,1941.6315905730733,2223.7017427602595
confirmation,25,1,1,1,15,0.33,0,default,confirm_f1_t1_noncred_p1,1,non-credibility,-1.5000000000003898e-05,0.00014694983114506925,-0.000315546150564295,0.00028554615056428724,30,0.00020833333333333335,6.259858125771644e-05,8.030485938959902e-05,0.00033636180727706765,765.6666666666666,44.77027783896118,674.1011673439064,857.2321659894269
robustness,25,1,-1,1,15,0.33,1,46.7,robust_c15_medium_noncred_p1,1,non-credibility,0.0005295454545454353,0.00014004131621750635,0.00021751395699791398,0.0008415769520929567,11,0.0008340909090909089,0.00030153532748089117,0.00016222833068433088,0.0015059534874974868,1149.0,73.71554665185505,984.7515265095951,1313.2484734904049
robustness,25,1,-1,1,15,0.33,0,default,robust_c15_off_noncred_p1,1,non-credibility,6.8181818181924214e-06,0.0001844861077884802,-0.00040424248259704785,0.00041787884623343267,11,0.0005204545454545454,0.0001355467959204404,0.00021843746320195757,0.0008224716277071332,854.7272727272727,47.551329378050355,748.7763082764425,960.678237178103
robustness,25,1,-1,1,15,0.33,1,14.7,robust_c15_original_noncred_p1,1,non-credibility,0.00012045454545454543,5.20945580191128e-05,4.3806367551070926e-06,0.00023652845415398377,11,0.0001340909090909091,7.599885819063989e-05,-3.52450995502509e-05,0.0003034269177320691,320.54545454545456,41.204890185590976,228.7352378311114,412.35567125979776
robustness,25,1,-1,1,15,0.33,1,81.2,robust_c15_traditional_noncred_p1,1,non-credibility,0.00035454545454541737,0.00017250883316705578,-2.9828178944917938e-05,0.0007389190880357527,11,0.0006749999999999909,0.00023938842532966308,0.00014160934880715352,0.0012083906511928283,1796.2727272727273,80.33295383013362,1617.279751748987,1975.2657027964674
